round,layer_index,avg_diffs,std_dev,shape
2,7,374590.125,302766.8821238287,"(16,)"
2,8,331433.0,217111.5839369816,"(16,)"
2,9,297754.9375,250439.70023801856,"(16,)"
2,10,10907594.75,6163961.578375322,"(16,)"
2,11,15733302.375,12480003.512867369,"(16,)"
2,12,280095.19375,219912.1361407653,"(5, 5, 16, 32)"
2,13,346031.46875,239043.3908027976,"(32,)"
2,14,593119.59375,300581.9076944606,"(32,)"
2,15,523038.875,379071.4815539206,"(32,)"
2,16,7105936.5625,4378914.288019255,"(32,)"
2,17,15924529.65625,6510509.146002003,"(32,)"
2,18,378278.25712456595,339598.26622257556,"(4608, 200)"
2,19,229139.155,205310.82249126802,"(200,)"
2,20,303963.2975,348093.3705655122,"(200, 2)"
2,21,391417.0,0.0,"(2,)"
3,0,115095.935,137828.88763518797,"(5, 5, 1, 32)"
3,1,72753.03125,76811.15039843027,"(32,)"
3,2,145613.46875,164480.37098883267,"(32,)"
3,3,93342.4375,70371.01394703357,"(32,)"
3,4,560650.78125,719271.9807282453,"(32,)"
3,5,13442449.03125,5756306.962484282,"(32,)"
3,6,220304.80484375,326531.2769523207,"(5, 5, 32, 16)"
3,7,94968.0,71746.189505088,"(16,)"
3,8,226750.25,225544.8567517945,"(16,)"
3,9,92377.3125,58281.66461752653,"(16,)"
3,10,4625653.75,3058353.9813031065,"(16,)"
3,11,11355907.5,7150937.928269235,"(16,)"
3,12,106050.24609375,94408.48459329245,"(5, 5, 16, 32)"
3,13,109914.9375,77891.1472183848,"(32,)"
3,14,157062.03125,100720.8807064368,"(32,)"
3,15,153962.65625,109529.04597400448,"(32,)"
3,16,4046327.78125,2364482.2557431404,"(32,)"
3,17,9172298.3125,4757387.958650434,"(32,)"
3,18,258911.06862413193,233899.43062561072,"(4608, 200)"
3,19,55218.82,81058.97186158728,"(200,)"
3,20,83328.525,194570.49968323662,"(200, 2)"
3,21,279780.5,0.5,"(2,)"
4,0,205554.98625,227265.07455641104,"(5, 5, 1, 32)"
4,1,106133.40625,122091.97209451861,"(32,)"
4,2,212440.5,281209.5664836769,"(32,)"
4,3,258943.15625,185788.58274412164,"(32,)"
4,4,351210.65625,411574.1723356655,"(32,)"
4,5,7691973.4375,4062764.04096186,"(32,)"
4,6,248260.747734375,294966.0225498423,"(5, 5, 32, 16)"
4,7,208048.875,203957.69248084116,"(16,)"
4,8,302916.8125,260031.63706514126,"(16,)"
4,9,196911.5,191355.89393522742,"(16,)"
4,10,1864564.125,1295125.8951020397,"(16,)"
4,11,8488037.8125,4828919.829471871,"(16,)"
4,12,160212.763046875,140241.56970232882,"(5, 5, 16, 32)"
4,13,214766.03125,207277.41485830717,"(32,)"
4,14,162785.84375,105535.37953842463,"(32,)"
4,15,231319.25,147312.83120221572,"(32,)"
4,16,2190767.09375,1597783.906283371,"(32,)"
4,17,6604890.5625,3911962.3149515297,"(32,)"
4,18,242573.10778862846,230195.33177243723,"(4608, 200)"
4,19,77380.325,140951.09410291704,"(200,)"
4,20,129187.6475,282038.6872359415,"(200, 2)"
4,21,21211.0,0.0,"(2,)"
5,0,292351.39,383810.0135430001,"(5, 5, 1, 32)"
5,1,267453.75,266761.17138111574,"(32,)"
5,2,315654.3125,324117.2000614166,"(32,)"
5,3,248557.65625,179589.59303917247,"(32,)"
5,4,324251.6875,426015.050266525,"(32,)"
5,5,4592560.15625,2249654.571475573,"(32,)"
5,6,238088.989375,241862.5429142312,"(5, 5, 32, 16)"
5,7,211888.5,174025.91278276636,"(16,)"
5,8,221470.875,146411.97677737765,"(16,)"
5,9,291998.5,234904.72458717172,"(16,)"
5,10,3429862.875,1080028.304997077,"(16,)"
5,11,5966788.25,4088473.1944320686,"(16,)"
5,12,169738.690625,145572.08457071646,"(5, 5, 16, 32)"
5,13,332025.1875,211849.31035090095,"(32,)"
5,14,214443.34375,140143.5467178674,"(32,)"
5,15,250180.40625,140691.4207463135,"(32,)"
5,16,1560819.6875,1366559.2052870286,"(32,)"
5,17,4229358.28125,2352630.9555778215,"(32,)"
5,18,228865.0415983073,231707.41472346464,"(4608, 200)"
5,19,115050.915,178753.81287941182,"(200,)"
5,20,156104.215,293117.61079033406,"(200, 2)"
5,21,186806.0,0.0,"(2,)"
6,0,215524.9275,241725.2617908754,"(5, 5, 1, 32)"
6,1,239559.1875,429159.68871661264,"(32,)"
6,2,223546.40625,276565.6148021048,"(32,)"
6,3,226478.6875,202051.51796067963,"(32,)"
6,4,374140.28125,496082.6790593501,"(32,)"
6,5,2382997.75,1346587.1849234272,"(32,)"
6,6,273129.2859375,282496.7194304605,"(5, 5, 32, 16)"
6,7,260001.9375,180746.28237375614,"(16,)"
6,8,372011.6875,284037.7704137072,"(16,)"
6,9,465064.9375,273532.46497775835,"(16,)"
6,10,2984493.625,1903391.0203352815,"(16,)"
6,11,5680390.75,4084634.0363961235,"(16,)"
6,12,194813.11046875,183685.2034850359,"(5, 5, 16, 32)"
6,13,295187.125,328483.40428644087,"(32,)"
6,14,282161.84375,230365.93271766952,"(32,)"
6,15,298942.53125,219686.04344324887,"(32,)"
6,16,2573496.1875,2007257.9720206684,"(32,)"
6,17,5985801.5625,4797790.274119892,"(32,)"
6,18,209065.24660373264,226925.38176013273,"(4608, 200)"
6,19,117348.025,193506.3252360614,"(200,)"
6,20,156060.9325,328420.2588203458,"(200, 2)"
6,21,269857.0,0.0,"(2,)"
7,0,154718.7,145334.48140141243,"(5, 5, 1, 32)"
7,1,129959.40625,194673.65851066937,"(32,)"
7,2,209604.0,228105.4127337567,"(32,)"
7,3,210637.1875,166256.13516883322,"(32,)"
7,4,387351.3125,395957.6378160167,"(32,)"
7,5,1311225.0,875380.0990853201,"(32,)"
7,6,205684.21984375,200375.3075181045,"(5, 5, 32, 16)"
7,7,213616.1875,310177.50133879366,"(16,)"
7,8,323327.4375,204664.32042309205,"(16,)"
7,9,262952.5625,198916.1800121375,"(16,)"
7,10,3365385.1875,2235165.10114153,"(16,)"
7,11,6417654.4375,2625288.981177,"(16,)"
7,12,156275.2090625,138796.72544796078,"(5, 5, 16, 32)"
7,13,303577.3125,249018.7820295185,"(32,)"
7,14,260627.03125,237635.3487962813,"(32,)"
7,15,253686.6875,164757.3300841721,"(32,)"
7,16,2695404.6875,2061607.843781969,"(32,)"
7,17,3663073.3125,2415647.9460289534,"(32,)"
7,18,169816.7537782118,191638.75637041448,"(4608, 200)"
7,19,61977.995,121294.09277930635,"(200,)"
7,20,107256.3675,273435.62570091785,"(200, 2)"
7,21,130260.0,0.0,"(2,)"
8,0,117512.08,118171.46929243792,"(5, 5, 1, 32)"
8,1,104565.40625,94757.94676663647,"(32,)"
8,2,107327.46875,116106.86722826313,"(32,)"
8,3,178561.78125,133773.71213189047,"(32,)"
8,4,265234.125,260330.46430759766,"(32,)"
8,5,735801.625,556179.2731781021,"(32,)"
8,6,189825.267421875,179632.38586653193,"(5, 5, 32, 16)"
8,7,210290.6875,203042.34191225938,"(16,)"
8,8,149166.75,121678.77787822123,"(16,)"
8,9,232996.0,162308.12604503203,"(16,)"
8,10,2713621.3125,1130025.693343835,"(16,)"
8,11,5256944.9375,1917427.590808401,"(16,)"
8,12,153569.1278125,138698.54220051444,"(5, 5, 16, 32)"
8,13,227265.0,280130.75095056056,"(32,)"
8,14,189323.65625,163072.50173534956,"(32,)"
8,15,150249.96875,104383.82525069568,"(32,)"
8,16,1571372.125,1125258.7514241934,"(32,)"
8,17,3644842.78125,2548957.772820672,"(32,)"
8,18,158129.88587890624,188600.58605098253,"(4608, 200)"
8,19,72865.67,147702.76997372493,"(200,)"
8,20,70942.815,126819.14491541006,"(200, 2)"
8,21,37168.0,0.0,"(2,)"
9,0,179627.41875,176515.77771086327,"(5, 5, 1, 32)"
9,1,168838.125,204725.2875118188,"(32,)"
9,2,167580.375,169490.01399985745,"(32,)"
9,3,170269.25,154031.4322622172,"(32,)"
9,4,276421.96875,386537.3815018966,"(32,)"
9,5,416329.6875,346206.0897588167,"(32,)"
9,6,194558.68875,180274.535938013,"(5, 5, 32, 16)"
9,7,213880.0625,153700.51414173472,"(16,)"
9,8,292902.5,159859.859928939,"(16,)"
9,9,346156.75,180775.72448945543,"(16,)"
9,10,2470427.375,1888556.5321617618,"(16,)"
9,11,3948189.25,2394195.133922685,"(16,)"
9,12,149344.833046875,128418.87443353594,"(5, 5, 16, 32)"
9,13,220584.375,247881.00863881622,"(32,)"
9,14,216851.625,178047.84831414526,"(32,)"
9,15,160933.9375,124618.35184372362,"(32,)"
9,16,1839952.96875,921934.1001824129,"(32,)"
9,17,4863349.375,2787490.286134978,"(32,)"
9,18,135537.43126302084,162824.5805067157,"(4608, 200)"
9,19,60877.9,89768.87060573949,"(200,)"
9,20,75217.885,155020.31552500394,"(200, 2)"
9,21,34020.0,0.0,"(2,)"
10,0,103938.9475,129403.29074110613,"(5, 5, 1, 32)"
