round,layer_index,norm,std_dev,shape
14,18,309537998.931197,322407.2685876511,"(4608, 200)"
14,19,2460282.3476715027,173948.92696017385,"(200,)"
14,20,6926935.274578289,346346.7637289119,"(200, 2)"
14,21,34277.70832479908,24238.0,"(2,)"
15,0,8708998.250526521,301814.6355143602,"(5, 5, 1, 32)"
15,1,2377551.286554509,415570.4819498496,"(32,)"
15,2,1820355.8787684897,321796.2186198316,"(32,)"
15,3,2480034.944130828,434303.4338234905,"(32,)"
15,4,4185578.975900586,721892.9957949473,"(32,)"
15,5,1086621.8326179537,25553.212230115878,"(32,)"
15,6,37314365.61435972,329326.9311243387,"(5, 5, 32, 16)"
15,7,1752025.2960214359,339264.63223294046,"(16,)"
15,8,1876336.8579964526,468615.1062795131,"(16,)"
15,9,1115501.5651777454,271993.7282081381,"(16,)"
15,10,15530516.341808021,3875768.9299885524,"(16,)"
15,11,15548439.77002384,3885340.9667356047,"(16,)"
15,12,37292220.94139496,329350.1384397478,"(5, 5, 16, 32)"
15,13,1916334.060956492,302247.5039056813,"(32,)"
15,14,1438205.0843982578,213186.35420785384,"(32,)"
15,15,1451143.4818628377,247736.99501012653,"(32,)"
15,16,16686746.995548682,2894098.8674640525,"(32,)"
15,17,24298553.172672175,4219386.366950978,"(32,)"
15,18,309537998.931197,322407.2685876511,"(4608, 200)"
15,19,2460282.3476715027,173948.92696017385,"(200,)"
15,20,6926935.274578289,346346.7637289119,"(200, 2)"
15,21,34277.70832479908,24238.0,"(2,)"
16,0,8708998.250526521,301814.6355143602,"(5, 5, 1, 32)"
16,1,2377551.286554509,415570.4819498496,"(32,)"
16,2,1820355.8787684897,321796.2186198316,"(32,)"
16,3,2480034.944130828,434303.4338234905,"(32,)"
16,4,4185578.975900586,721892.9957949473,"(32,)"
16,5,1086621.8326179537,25553.212230115878,"(32,)"
16,6,37314365.61435972,329326.9311243387,"(5, 5, 32, 16)"
16,7,1752025.2960214359,339264.63223294046,"(16,)"
16,8,1876336.8579964526,468615.1062795131,"(16,)"
16,9,1115501.5651777454,271993.7282081381,"(16,)"
16,10,15530516.341808021,3875768.9299885524,"(16,)"
16,11,15548439.77002384,3885340.9667356047,"(16,)"
16,12,37292220.94139496,329350.1384397478,"(5, 5, 16, 32)"
16,13,1916334.060956492,302247.5039056813,"(32,)"
16,14,1438205.0843982578,213186.35420785384,"(32,)"
16,15,1451143.4818628377,247736.99501012653,"(32,)"
16,16,16686746.995548682,2894098.8674640525,"(32,)"
16,17,24298553.172672175,4219386.366950978,"(32,)"
16,18,309537998.931197,322407.2685876511,"(4608, 200)"
16,19,2460282.3476715027,173948.92696017385,"(200,)"
16,20,6926935.274578289,346346.7637289119,"(200, 2)"
16,21,34277.70832479908,24238.0,"(2,)"

