round,layer_index,avg_diffs,std_dev,shape
4,9,169335.125,120137.24229130356,"(16,)"
4,10,2709073.9375,2423797.830621411,"(16,)"
4,11,6222707.6875,3317668.547420796,"(16,)"
4,12,197024.0609375,173867.24764900745,"(5, 5, 16, 32)"
4,13,258392.5,254650.0415467274,"(32,)"
4,14,152097.15625,121657.74340725022,"(32,)"
4,15,219939.53125,161435.53690637334,"(32,)"
4,16,1808481.375,1587183.8951343538,"(32,)"
4,17,8580644.40625,3529088.037977675,"(32,)"
4,18,257712.90516818577,243461.73210191337,"(4608, 200)"
4,19,111498.305,181667.27590034474,"(200,)"
4,20,148057.1125,292114.18652726343,"(200, 2)"
4,21,207653.0,0.0,"(2,)"
5,0,152425.53625,151438.75410257006,"(5, 5, 1, 32)"
5,1,85562.375,74969.44507670692,"(32,)"
5,2,178496.59375,132831.14979125268,"(32,)"
5,3,179683.0,148332.94207984448,"(32,)"
5,4,202110.40625,253466.25565914332,"(32,)"
5,5,4068667.8125,31311.391359054036,"(32,)"
5,6,257361.246328125,241951.59111454833,"(5, 5, 32, 16)"
5,7,204516.875,177566.3185403819,"(16,)"
5,8,266013.5625,192499.8085654791,"(16,)"
5,9,196101.125,133573.38716782012,"(16,)"
5,10,3918223.5,4726190.144795885,"(16,)"
5,11,6108363.75,7876333.627673391,"(16,)"
5,12,194409.219765625,171259.4679192408,"(5, 5, 16, 32)"
5,13,303383.21875,246951.23087625197,"(32,)"
5,14,168341.34375,127544.61397257466,"(32,)"
5,15,228043.0625,206261.41635297085,"(32,)"
5,16,1857392.21875,1181668.9086764304,"(32,)"
5,17,5151917.8125,3615138.5986992987,"(32,)"
5,18,216857.15226996527,223069.7134199852,"(4608, 200)"
5,19,109292.645,175495.06820326598,"(200,)"
5,20,138091.04,281394.76318438904,"(200, 2)"
5,21,139081.0,0.0,"(2,)"
6,0,150602.9425,149220.64830738638,"(5, 5, 1, 32)"
6,1,205816.78125,321692.6635989052,"(32,)"
6,2,219289.6875,142557.07954895592,"(32,)"
6,3,151508.0,163979.79564339627,"(32,)"
6,4,307551.28125,484927.7340498295,"(32,)"
6,5,2234192.09375,48466.5323298971,"(32,)"
6,6,256814.930859375,226214.8527660809,"(5, 5, 32, 16)"
6,7,208990.5625,169629.49936957043,"(16,)"
6,8,220295.0625,147962.70215052034,"(16,)"
6,9,158478.9375,112448.58484907044,"(16,)"
6,10,1453057.5,1394376.0919331897,"(16,)"
6,11,3740503.6875,2058297.74325739,"(16,)"
