round,layer_index,avg_diffs,std_dev,shape
1,16,37147862.03125,12017907.196259942,"(32,)"
1,17,59662486.46875,21193561.63826434,"(32,)"
1,18,1565076.5380740017,981614.7425481031,"(4608, 200)"
1,19,876570.545,653309.221337498,"(200,)"
1,20,1196971.235,845736.3393232134,"(200, 2)"
1,21,2628269.0,0.0,"(2,)"
2,0,1139013.92125,963969.9251168796,"(5, 5, 1, 32)"
2,1,856611.0625,746328.4731681461,"(32,)"
2,2,1080165.84375,1250941.0878777453,"(32,)"
2,3,1685049.09375,1179176.8625951367,"(32,)"
2,4,2482888.1875,2588169.2814813554,"(32,)"
2,5,19399248.75,14286480.367830424,"(32,)"
2,6,1061647.046796875,835747.4345278697,"(5, 5, 32, 16)"
2,7,1930480.4375,1958468.4661959063,"(16,)"
2,8,1149340.125,572440.0684570476,"(16,)"
2,9,1182360.3125,824162.2312709979,"(16,)"
2,10,23914037.9375,22225864.342265155,"(16,)"
2,11,33272027.625,27181412.08620635,"(16,)"
2,12,942285.7371875,704827.2932579969,"(5, 5, 16, 32)"
2,13,1537153.4375,1246283.922951396,"(32,)"
2,14,2671965.96875,1589224.1304389795,"(32,)"
2,15,2152303.3125,1633601.2725563466,"(32,)"
2,16,15096651.21875,13903212.932581004,"(32,)"
2,17,21262174.9375,20277927.315182935,"(32,)"
2,18,1025178.7650054253,648622.5543272587,"(4608, 200)"
2,19,862200.775,818202.7031434842,"(200,)"
2,20,1179325.2475,1068943.5400578794,"(200, 2)"
2,21,1780767.0,2.0,"(2,)"
3,0,894948.84375,696446.7898810265,"(5, 5, 1, 32)"
3,1,1034072.90625,843435.8683607545,"(32,)"
3,2,1222499.09375,1549105.9169484337,"(32,)"
3,3,1413192.40625,1242665.3846923118,"(32,)"
3,4,1032297.0,1276307.7375009083,"(32,)"
3,5,8005988.03125,7271925.106310487,"(32,)"
3,6,825570.430546875,718021.3898261432,"(5, 5, 32, 16)"
3,7,2254032.375,1829263.8875307834,"(16,)"
3,8,1119978.0,891647.4884838879,"(16,)"
3,9,1624113.125,970347.5020963415,"(16,)"
3,10,5575077.625,4661591.894463748,"(16,)"
3,11,8534443.75,8635979.764238678,"(16,)"
3,12,879904.6378125,650356.422384365,"(5, 5, 16, 32)"
3,13,2234923.78125,1656705.0720124368,"(32,)"
3,14,1691625.125,1011652.3588767644,"(32,)"
3,15,1587737.0625,1624845.2810250493,"(32,)"
3,16,10755239.6875,7799231.673391859,"(32,)"
3,17,16024145.03125,11080621.580486527,"(32,)"
3,18,712949.6497580295,506255.8319752686,"(4608, 200)"
3,19,904147.645,838701.1136840876,"(200,)"
3,20,776995.91,782584.3938078448,"(200, 2)"
3,21,36244.0,0.0,"(2,)"
4,0,659341.45375,485420.3592634819,"(5, 5, 1, 32)"
4,1,595031.78125,500348.1795940162,"(32,)"
4,2,1336489.96875,3011759.5275198086,"(32,)"
